epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,4576.13,1.28564,0.78416,0.94267,0.65265,0.43772,0.49743,0.28793,1.25536,0.78452,0.92528,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4659.24,1.28331,0.77885,0.94242,0.6216,0.44803,0.4943,0.28653,1.25144,0.78579,0.92437,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4742.44,1.27699,0.77618,0.94244,0.61734,0.4433,0.48698,0.28506,1.25297,0.78479,0.92337,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4825.99,1.28551,0.77996,0.94204,0.61048,0.44161,0.48872,0.28476,1.24777,0.78025,0.92132,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4910.69,1.28074,0.7765,0.9394,0.58933,0.45317,0.48855,0.2823,1.24665,0.7813,0.92172,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4995.57,1.28064,0.7758,0.93934,0.61945,0.45296,0.49248,0.28362,1.24448,0.77707,0.92182,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5078.69,1.27178,0.76937,0.93809,0.6119,0.46242,0.49488,0.28541,1.24387,0.77663,0.9209,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5166.36,1.27557,0.77085,0.93835,0.60967,0.46307,0.49549,0.28471,1.24387,0.77644,0.92014,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5253.17,1.27549,0.77221,0.93834,0.62619,0.4449,0.49421,0.28538,1.24254,0.77742,0.91902,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5337.74,1.26651,0.76477,0.93582,0.63531,0.45022,0.49986,0.29099,1.24256,0.77684,0.92,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5421.98,1.26742,0.76696,0.93746,0.62895,0.45847,0.5012,0.2911,1.24204,0.77498,0.91995,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5504.92,1.26386,0.76158,0.93545,0.64449,0.44737,0.49736,0.28835,1.23972,0.77537,0.91859,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5588.44,1.25763,0.76027,0.93497,0.64272,0.44721,0.49531,0.28698,1.23963,0.77593,0.91837,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5672.19,1.26304,0.75952,0.93451,0.65026,0.43592,0.49453,0.28725,1.24078,0.77438,0.91858,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5756.58,1.25566,0.75473,0.93413,0.65688,0.43579,0.49736,0.28668,1.24266,0.77279,0.91976,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5841.28,1.25394,0.75436,0.93284,0.62409,0.4434,0.49487,0.28831,1.2409,0.7735,0.91917,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5925.61,1.25625,0.75491,0.9327,0.63543,0.43838,0.4954,0.28904,1.24011,0.77225,0.91908,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6009.35,1.25619,0.75001,0.93154,0.67321,0.42703,0.49868,0.29014,1.23879,0.771,0.9188,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6093.43,1.2504,0.74799,0.92987,0.67581,0.43023,0.49558,0.28638,1.23714,0.77083,0.91809,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6177.25,1.24682,0.74724,0.92903,0.65329,0.43216,0.49612,0.28806,1.23685,0.7715,0.91794,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6261.17,1.25191,0.74609,0.92833,0.65653,0.43571,0.4971,0.2868,1.23806,0.77186,0.91828,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6345.67,1.24417,0.74107,0.92858,0.65466,0.43917,0.49708,0.28749,1.2376,0.77099,0.91844,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6429.68,1.24033,0.74131,0.92987,0.6515,0.43792,0.49744,0.28636,1.23776,0.7709,0.91836,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6513.23,1.23978,0.73971,0.92793,0.64069,0.43622,0.49514,0.28482,1.23777,0.77049,0.91851,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6597.11,1.2447,0.7397,0.92656,0.63466,0.43823,0.49503,0.2846,1.23819,0.77034,0.91912,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6680.77,1.23968,0.73703,0.92718,0.6435,0.43734,0.49698,0.28688,1.23846,0.76884,0.91915,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6764.22,1.23618,0.73614,0.9273,0.63493,0.44166,0.4955,0.2867,1.23747,0.76844,0.91899,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6848.8,1.23807,0.73557,0.92501,0.64227,0.4409,0.49511,0.28791,1.23728,0.76782,0.91919,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6932.82,1.23351,0.73004,0.92363,0.65456,0.43381,0.49562,0.28825,1.23704,0.76803,0.91913,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7018.82,1.23109,0.72845,0.92262,0.64751,0.43488,0.49608,0.28948,1.23735,0.76745,0.91886,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7104.83,1.23061,0.72866,0.92274,0.63665,0.44461,0.49938,0.2896,1.23695,0.76654,0.91872,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
